,language,title,timestamp,user,action,comment,type,level,expiry,article
130,ru,"Хмельницкий, Богдан Михайлович",2020-11-09 22:00:49,QBA-bot,protect,повторяющиеся [[ВП:КОНС|неконсенсусные]] правки,"['edit', 'move']","['autoconfirmed', 'autoconfirmed']",2020-11-16 22:00:00,Bohdan_Khmelnytsky
131,ru,"Хмельницкий, Богдан Михайлович",2020-02-26 18:34:41,Юрий Владимирович Л.,protect,частый [[ВП:В|вандализм]],"['edit', 'move']","['autoconfirmed', 'autoconfirmed']",2020-02-29 18:34:00,Bohdan_Khmelnytsky
132,ru,"Хмельницкий, Богдан Михайлович",2020-01-29 18:41:18,QBA-bot,protect,повторяющиеся [[ВП:КОНС|неконсенсусные]] правки,"['edit', 'move']","['autoconfirmed', 'autoconfirmed']",2020-02-05 18:41:00,Bohdan_Khmelnytsky
133,ru,"Хмельницкий, Богдан Михайлович",2012-02-20 18:04:00,Alex Smotrov,protect,частый [[ВП:В|вандализм]],,,2012-03-05 18:04:00,Bohdan_Khmelnytsky
134,ru,"Хмельницкий, Богдан Михайлович",2010-04-26 20:45:40,Obersachse,protect,активная [[ВП:ВОЙ|война правок]],,,2010-05-03 20:45:00,Bohdan_Khmelnytsky
135,ru,"Хмельницкий, Богдан Михайлович",2009-10-20 18:26:37,Victoria,protect,частый [[ВП:В|вандализм]],,,2009-11-20 18:26:00,Bohdan_Khmelnytsky
136,ru,"Хмельницкий, Богдан Михайлович",2008-01-23 18:04:19,EvgenyGenkin,protect,"Аноним не хочет обсуждать правки [edit=autoconfirmed:move=autoconfirmed] (истекает 18:04, 25 января 2008 (UTC))",,,2008-01-25 18:04:00,Bohdan_Khmelnytsky
137,en,Cossacks,2020-02-03 15:02:14,El C,protect,[[WP:PP#Content disputes|Edit warring / content dispute]],"['edit', 'move']","['sysop', 'sysop']",2020-02-10 15:02:00,Cossacks
138,en,Cossacks,2019-09-08 16:41:18,El C,protect,Addition of [[WP:Verifiability|unsourced or poorly sourced content]],"['edit', 'move']","['autoconfirmed', 'autoconfirmed']",2019-11-08 16:41:00,Cossacks
139,en,Cossacks,2013-08-15 11:18:39,Bishonen,protect,Persistent [[WP:Vandalism|vandalism]],,,2013-09-15 11:18:00,Cossacks
140,uk,Козаки,2016-07-26 23:29:22,NickK,unprotect,"захист від редагування сплинув, захист від перейменування не має сенсу",,,,Cossacks
141,uk,Козаки,2012-02-12 10:01:11,Leonst,protect,частий вандалізм,,,2012-02-19 10:01:00,Cossacks
142,ru,Казаки,2024-06-02 18:01:33,QBA-bot,protect,повторяющиеся [[ВП:КОНС|неконсенсусные]] правки,"['edit', 'move']","['autoconfirmed', 'autoconfirmed']",2024-06-09 18:01:00,Cossacks
143,ru,Казаки,2023-05-23 10:24:11,QBA-bot,protect,повторяющиеся [[ВП:КОНС|неконсенсусные]] правки,"['edit', 'move']","['autoconfirmed', 'autoconfirmed']",2023-05-30 10:24:00,Cossacks
144,ru,Казаки,2023-02-06 12:20:13,QBA-bot,protect,повторяющиеся [[ВП:КОНС|неконсенсусные]] правки,"['edit', 'move']","['autoconfirmed', 'autoconfirmed']",2023-02-13 12:20:00,Cossacks
